SK_ID_CURR,TARGET,CLUSTER,AMT_INCOME_TOTAL,AMT_CREDIT,CREDIT_INCOME_RATIO,EXT_SOURCE_MEAN,DAYS_BIRTH,AGE_BAND,PRED_PROB,RISK_BAND,PERSONA
294154,0,0,202500.0,855000.0,4.2222222222013714,0.28910246,-14243,31-40,0.8267322,Very High,Moderate-Risk Aspirational Borrower
305209,0,0,67500.0,148365.0,2.197999999967437,0.52464527,-18047,41-50,0.1997475,Very Low,Moderate-Risk Aspirational Borrower
165528,0,1,36000.0,288873.0,8.024249999777105,0.53000015,-19327,51-65,0.6001929,High,Stable Salaried Professional
163784,0,1,272250.0,1312110.0,4.819504132213702,0.6214108,-21585,51-65,0.15700485,Very Low,Stable Salaried Professional
290648,0,1,189000.0,855000.0,4.523809523785588,0.5037561,-14184,31-40,0.40208986,Medium,Stable Salaried Professional
341008,0,0,112500.0,251091.0,2.231919999980161,0.5938301,-16050,41-50,0.22703576,Low,Moderate-Risk Aspirational Borrower
433937,0,0,315000.0,450000.0,1.4285714285668933,0.56510395,-18522,51-65,0.33385268,Low,Moderate-Risk Aspirational Borrower
336651,0,0,166500.0,247275.0,1.4851351351262154,0.5864472,-20930,51-65,0.1751331,Very Low,Moderate-Risk Aspirational Borrower
371948,0,0,112500.0,381528.0,3.391359999969855,0.63355595,-21775,51-65,0.20600003,Low,Moderate-Risk Aspirational Borrower
156522,0,0,157500.0,152820.0,0.9702857142795537,0.6335158,-15007,41-50,0.16191095,Very Low,Moderate-Risk Aspirational Borrower
271510,0,0,90000.0,254700.0,2.829999999968556,0.659506,-23854,51-65,0.04976011,Very Low,Moderate-Risk Aspirational Borrower
171804,0,0,85500.0,269550.0,3.152631578910496,0.3535606,-9881,18-30,0.35561144,Low,Moderate-Risk Aspirational Borrower
430773,0,1,54000.0,254700.0,4.716666666579321,0.4553341,-23133,51-65,0.40509665,Medium,Stable Salaried Professional
136266,0,0,157500.0,477000.0,3.0285714285521994,0.7419956,-17536,41-50,0.06524319,Very Low,Moderate-Risk Aspirational Borrower
300469,0,0,225000.0,900000.0,3.999999999982222,0.5078579,-13567,31-40,0.4858155,Medium,Moderate-Risk Aspirational Borrower
280536,0,0,90000.0,78192.0,0.8687999999903467,0.67670393,-19539,51-65,0.045827594,Very Low,Moderate-Risk Aspirational Borrower
115878,0,0,225000.0,986274.0,4.383439999980518,0.60238135,-12120,31-40,0.21588658,Low,Moderate-Risk Aspirational Borrower
188683,0,0,225000.0,254700.0,1.1319999999949688,0.39750347,-13616,31-40,0.69548917,High,Moderate-Risk Aspirational Borrower
323565,0,0,144000.0,601470.0,4.176874999970994,0.2004654,-8174,18-30,0.8314098,Very High,Moderate-Risk Aspirational Borrower
222317,0,0,216000.0,781920.0,3.6199999999832406,0.56872433,-20074,51-65,0.4026105,Medium,Moderate-Risk Aspirational Borrower
139991,0,0,193500.0,450000.0,2.3255813953368185,0.5572157,-17373,41-50,0.34363085,Low,Moderate-Risk Aspirational Borrower
285289,0,1,135000.0,900000.0,6.666666666617283,0.56940365,-14224,31-40,0.2758208,Low,Stable Salaried Professional
358380,0,0,85500.0,270000.0,3.1578947368051713,0.498799,-23077,51-65,0.21534999,Low,Moderate-Risk Aspirational Borrower
262432,0,0,180000.0,225000.0,1.2499999999930556,0.31938756,-12540,31-40,0.5923766,Medium,Moderate-Risk Aspirational Borrower
243975,0,1,310500.0,1113399.0,3.585826086944973,0.58166164,-22268,51-65,0.1906543,Very Low,Stable Salaried Professional
243661,0,0,225000.0,567000.0,2.5199999999888,0.6150636,-20534,51-65,0.16345258,Very Low,Moderate-Risk Aspirational Borrower
230975,0,1,157500.0,956574.0,6.073485714247152,0.66077566,-20394,51-65,0.1809718,Very Low,Stable Salaried Professional
358821,0,1,101250.0,677664.0,6.692977777711675,0.435788,-22012,51-65,0.50942194,Medium,Stable Salaried Professional
174456,0,1,198900.0,1724220.0,8.668778280499403,0.4493738,-19336,51-65,0.43661168,Medium,Stable Salaried Professional
436842,1,0,202500.0,754740.0,3.7271111110927055,0.33062336,-10275,18-30,0.796065,High,Moderate-Risk Aspirational Borrower
434709,0,0,274500.0,487971.0,1.7776721311410648,0.5606692,-13093,31-40,0.17471655,Very Low,Moderate-Risk Aspirational Borrower
172515,0,1,112500.0,497520.0,4.42239999996069,0.5249103,-9014,18-30,0.42320192,Medium,Stable Salaried Professional
333433,0,1,270000.0,1223010.0,4.52966666664989,0.6365718,-22148,51-65,0.12155799,Very Low,Stable Salaried Professional
212507,0,1,135000.0,1824480.0,13.514666666566557,0.33143088,-21564,51-65,0.50381786,Medium,Stable Salaried Professional
226743,0,1,72000.0,254700.0,3.5374999999508683,0.6520014,-22226,51-65,0.14454289,Very Low,Stable Salaried Professional
212856,0,1,112500.0,900000.0,7.99999999992889,0.72419286,-13676,31-40,0.1224912,Very Low,Stable Salaried Professional
114371,0,0,67500.0,84073.5,1.245533333314881,0.62898046,-19214,51-65,0.08032671,Very Low,Moderate-Risk Aspirational Borrower
440492,1,1,112500.0,597024.0,5.306879999952828,0.46332422,-14448,31-40,0.61283034,High,Stable Salaried Professional
387033,0,0,76500.0,143910.0,1.881176470563645,0.60986835,-18748,51-65,0.2318714,Low,Moderate-Risk Aspirational Borrower
419309,0,1,130500.0,900000.0,6.896551724085084,0.53787273,-20287,51-65,0.27769524,Low,Stable Salaried Professional
135884,0,0,135000.0,291384.0,2.1583999999840118,0.7461787,-24816,65+,0.05125188,Very Low,Moderate-Risk Aspirational Borrower
104674,0,0,126000.0,679500.0,5.392857142814343,0.44945693,-13902,31-40,0.34815523,Low,Moderate-Risk Aspirational Borrower
147965,0,0,135000.0,135000.0,0.9999999999925925,0.63008016,-11705,31-40,0.12946998,Very Low,Moderate-Risk Aspirational Borrower
394148,0,1,157500.0,760225.5,4.826828571397924,0.5508836,-22978,51-65,0.2136315,Low,Stable Salaried Professional
127744,0,0,112500.0,135000.0,1.1999999999893334,0.46516633,-16347,41-50,0.53623533,Medium,Moderate-Risk Aspirational Borrower
369339,0,1,193500.0,1102500.0,5.697674418575206,0.5461798,-22036,51-65,0.4112908,Medium,Stable Salaried Professional
308991,0,0,112500.0,127350.0,1.131999999989938,0.48489222,-15138,41-50,0.3487123,Low,Moderate-Risk Aspirational Borrower
341989,0,0,135000.0,405000.0,2.9999999999777778,0.50857854,-11484,31-40,0.28768578,Low,Moderate-Risk Aspirational Borrower
285648,0,0,225000.0,273636.0,1.216159999994595,0.60008,-11943,31-40,0.14608654,Very Low,Moderate-Risk Aspirational Borrower
359891,0,0,135000.0,180000.0,1.3333333333234567,0.5801826,-22134,51-65,0.27082554,Low,Moderate-Risk Aspirational Borrower
405357,0,0,360000.0,1046142.0,2.905949999991928,0.35466596,-10130,18-30,0.6039855,High,Moderate-Risk Aspirational Borrower
272508,0,0,180000.0,247500.0,1.374999999992361,0.45618972,-8419,18-30,0.33267072,Low,Moderate-Risk Aspirational Borrower
212330,1,1,337500.0,1321020.0,3.9141333333217356,0.5613168,-17559,41-50,0.4653845,Medium,Stable Salaried Professional
393979,0,0,225000.0,521280.0,2.316799999989703,0.56001663,-15279,41-50,0.3781958,Low,Moderate-Risk Aspirational Borrower
141458,0,1,180000.0,755190.0,4.1954999999766915,0.5885877,-23022,51-65,0.19026862,Very Low,Stable Salaried Professional
443562,0,0,175500.0,450000.0,2.564102564087954,0.31809437,-13669,31-40,0.7660016,High,Moderate-Risk Aspirational Borrower
422905,0,1,157500.0,1174977.0,7.460171428524062,0.46919093,-14698,31-40,0.47473332,Medium,Stable Salaried Professional
211113,0,0,202500.0,621621.0,3.069733333318174,0.48061386,-11650,31-40,0.4682947,Medium,Moderate-Risk Aspirational Borrower
116639,0,1,135000.0,922266.0,6.831599999949395,0.66099316,-13429,31-40,0.121528715,Very Low,Stable Salaried Professional
330316,0,0,121500.0,425133.0,3.4990370370082386,0.38411704,-22753,51-65,0.7221442,High,Moderate-Risk Aspirational Borrower
400609,1,1,180000.0,1321020.0,7.338999999959228,0.64160836,-20360,51-65,0.24664919,Low,Stable Salaried Professional
341225,0,1,157500.0,733315.5,4.655971428541867,0.46196827,-14135,31-40,0.38748327,Low,Stable Salaried Professional
302223,0,0,157500.0,327024.0,2.076342857129674,0.54174733,-10323,18-30,0.27310222,Low,Moderate-Risk Aspirational Borrower
345559,0,0,162000.0,312840.0,1.9311111110991905,0.5032813,-16166,41-50,0.29543737,Low,Moderate-Risk Aspirational Borrower
355301,0,1,112500.0,1078200.0,9.583999999914809,0.48633125,-17392,41-50,0.42791134,Medium,Stable Salaried Professional
190395,0,1,135000.0,773680.5,5.730966666624215,0.4362041,-21656,51-65,0.3470092,Low,Stable Salaried Professional
173733,1,0,157500.0,315000.0,1.9999999999873015,0.40520462,-13878,31-40,0.47505125,Medium,Moderate-Risk Aspirational Borrower
145806,0,1,121500.0,675000.0,5.555555555509831,0.4276518,-23032,51-65,0.55959904,Medium,Stable Salaried Professional
124281,0,0,135000.0,241618.5,1.789766666653409,0.6587494,-15311,41-50,0.16976634,Very Low,Moderate-Risk Aspirational Borrower
200820,0,1,202500.0,963472.5,4.757888888865393,0.63726217,-13607,31-40,0.13713405,Very Low,Stable Salaried Professional
